user_ID,stimuli_ID,stimuli_file,rating_type,rating,timestamp,rel_distance,abs_distance,stimulus,codec,resolution,bitrate,source,source_short
24,3,['..\\4k_viewing_distance\\cpvs_hevc\\fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s_15000k_2160_hevc.mkv'],acr,5,2024-09-05 09:27:12 798050,1.6,60,fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s_15000k_2160_hevc,hevc,2160p,15000k,fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s,Debris
24,4,['..\\4k_viewing_distance\\cpvs_hevc\\BunnyAnimation_15000k_2160_hevc.mkv'],acr,4,2024-09-05 09:27:27 573360,1.6,60,BunnyAnimation_15000k_2160_hevc,hevc,2160p,15000k,BunnyAnimation,Bunny
24,5,['..\\4k_viewing_distance\\cpvs_hevc\\AVT-Faces_lighting1__V4-0005_7000k_2160_hevc.mkv'],acr,4,2024-09-05 09:27:40 887000,1.6,60,AVT-Faces_lighting1__V4-0005_7000k_2160_hevc,hevc,2160p,7000k,AVT-Faces_lighting1__V4-0005,Faces_05
24,6,['..\\4k_viewing_distance\\cpvs_hevc\\BunnyAnimation_3500k_1080_hevc.mkv'],acr,4,2024-09-05 09:27:57 604705,1.6,60,BunnyAnimation_3500k_1080_hevc,hevc,1080p,3500k,BunnyAnimation,Bunny
24,7,['..\\4k_viewing_distance\\cpvs_hevc\\water_netflix_8s_7000k_2160_hevc.mkv'],acr,4,2024-09-05 09:28:09 881718,1.6,60,water_netflix_8s_7000k_2160_hevc,hevc,2160p,7000k,water_netflix_8s,Water
24,8,['..\\4k_viewing_distance\\cpvs_hevc\\BunnyAnimation_100k_360_hevc.mkv'],acr,1,2024-09-05 09:28:24 062296,1.6,60,BunnyAnimation_100k_360_hevc,hevc,360p,100k,BunnyAnimation,Bunny
24,9,['..\\4k_viewing_distance\\cpvs_hevc\\water_netflix_8s_100k_360_hevc.mkv'],acr,1,2024-09-05 09:28:37 167890,1.6,60,water_netflix_8s_100k_360_hevc,hevc,360p,100k,water_netflix_8s,Water
24,10,['..\\4k_viewing_distance\\cpvs_hevc\\water_netflix_8s_1000k_1080_hevc.mkv'],acr,2,2024-09-05 09:28:49 641379,1.6,60,water_netflix_8s_1000k_1080_hevc,hevc,1080p,1000k,water_netflix_8s,Water
24,11,['..\\4k_viewing_distance\\cpvs_hevc\\AVT-Faces_lighting1__V4-0005_100k_360_hevc.mkv'],acr,1,2024-09-05 09:29:02 800846,1.6,60,AVT-Faces_lighting1__V4-0005_100k_360_hevc,hevc,360p,100k,AVT-Faces_lighting1__V4-0005,Faces_05
24,12,['..\\4k_viewing_distance\\cpvs_hevc\\water_netflix_8s_400k_720_hevc.mkv'],acr,1,2024-09-05 09:29:13 499138,1.6,60,water_netflix_8s_400k_720_hevc,hevc,720p,400k,water_netflix_8s,Water
24,13,['..\\4k_viewing_distance\\cpvs_hevc\\cutting_orange_tuil_8s_15000k_2160_hevc.mkv'],acr,5,2024-09-05 09:29:25 222461,1.6,60,cutting_orange_tuil_8s_15000k_2160_hevc,hevc,2160p,15000k,cutting_orange_tuil_8s,Orange
24,14,['..\\4k_viewing_distance\\cpvs_hevc\\DialogMeridian_1000k_720_hevc.mkv'],acr,4,2024-09-05 09:29:38 305276,1.6,60,DialogMeridian_1000k_720_hevc,hevc,720p,1000k,DialogMeridian,Meridian
24,15,['..\\4k_viewing_distance\\cpvs_hevc\\DialogMeridian_400k_360_hevc.mkv'],acr,3,2024-09-05 09:29:52 182195,1.6,60,DialogMeridian_400k_360_hevc,hevc,360p,400k,DialogMeridian,Meridian
24,16,['..\\4k_viewing_distance\\cpvs_hevc\\AVT-Faces_lighting1__V4-0012_3500k_2160_hevc.mkv'],acr,5,2024-09-05 09:30:06 096357,1.6,60,AVT-Faces_lighting1__V4-0012_3500k_2160_hevc,hevc,2160p,3500k,AVT-Faces_lighting1__V4-0012,Faces_12
24,17,['..\\4k_viewing_distance\\cpvs_hevc\\BunnyAnimation_7000k_2160_hevc.mkv'],acr,5,2024-09-05 09:30:21 704198,1.6,60,BunnyAnimation_7000k_2160_hevc,hevc,2160p,7000k,BunnyAnimation,Bunny
24,18,['..\\4k_viewing_distance\\cpvs_hevc\\BunnyAnimation_1000k_1080_hevc.mkv'],acr,5,2024-09-05 09:30:34 673935,1.6,60,BunnyAnimation_1000k_1080_hevc,hevc,1080p,1000k,BunnyAnimation,Bunny
