video_name,video_height,rel_distance,mos,ci,std
cutting_orange_tuil_8s_100k_360_hevc,360p,3.2H,1.434782608695652,0.2071479266288623,0.5068698018697018
AVT-Faces_lighting1__V4-0005_3500k_2160_hevc,2160p,4.8H,4.130434782608695,0.2837944041246343,0.694415897524803
AVT-Faces_lighting1__V4-0012_3500k_2160_hevc,2160p,4.8H,4.304347826086956,0.2283691619025343,0.5587959953568721
fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s_1000k_1080_hevc,1080p,4.8H,2.0869565217391304,0.3239831880148012,0.7927537436201203
water_netflix_8s_7000k_2160_hevc,2160p,4.8H,4.304347826086956,0.2872624888716983,0.7029019463944166
AVT-Faces_lighting1__V4-0005_100k_360_hevc,360p,4.8H,2.608695652173913,0.3198819696635396,0.7827184815397383
AVT-Faces_lighting1__V4-0012_15000k_2160_hevc,2160p,4.8H,4.608695652173913,0.2039361363428079,0.4990108793478453
AVT-Faces_lighting1__V4-0005_3500k_1080_hevc,1080p,4.8H,4.304347826086956,0.2872624888716983,0.7029019463944167
cutting_orange_tuil_8s_7000k_2160_hevc,2160p,4.8H,4.434782608695652,0.2706982211085496,0.6623708763718502
DialogMeridian_7000k_2160_hevc,2160p,4.8H,4.3478260869565215,0.2645311652921499,0.6472807211834833
AVT-Faces_lighting1__V4-0012_7000k_2160_hevc,2160p,4.8H,4.391304347826087,0.2951962784546535,0.7223151185146154
AVT-Faces_lighting1__V4-0005_400k_720_hevc,720p,4.8H,3.608695652173913,0.3845456664986235,0.9409439377939296
cutting_orange_tuil_8s_15000k_2160_hevc,2160p,4.8H,4.260869565217392,0.3072500280139945,0.7518094115561123
BunnyAnimation_1000k_1080_hevc,1080p,4.8H,3.608695652173913,0.3198819696635396,0.7827184815397383
DialogMeridian_15000k_2160_hevc,2160p,4.8H,4.434782608695652,0.2974242065025668,0.7277666307098063
cutting_orange_tuil_8s_7000k_1080_hevc,1080p,4.8H,4.434782608695652,0.2410267520608135,0.5897678246195885
DialogMeridian_7000k_1080_hevc,1080p,4.8H,4.478260869565218,0.2423923536522697,0.5931093121225481
fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s_400k_360_hevc,360p,4.8H,1.4782608695652173,0.2719148484570773,0.6653478391304605
cutting_orange_tuil_8s_1000k_1080_hevc,1080p,4.8H,3.869565217391304,0.3093911690963474,0.7570485649179112
AVT-Faces_lighting1__V4-0005_7000k_2160_hevc,2160p,4.8H,4.086956521739131,0.2731260564492838,0.668311541278118
fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s_1000k_720_hevc,720p,4.8H,2.4782608695652173,0.406250507723406,0.99405346560943
DialogMeridian_1000k_720_hevc,720p,4.8H,3.869565217391304,0.3093911690963473,0.7570485649179112
water_netflix_8s_3500k_1080_hevc,1080p,4.8H,3.9130434782608696,0.3466247795795654,0.8481554037632527
BunnyAnimation_3500k_1080_hevc,1080p,4.8H,3.9130434782608696,0.3239831880148012,0.7927537436201203
AVT-Faces_lighting1__V4-0012_400k_720_hevc,720p,4.8H,3.739130434782609,0.3532277496450371,0.8643121965600912
DialogMeridian_400k_360_hevc,360p,4.8H,2.6956521739130435,0.2283691619025344,0.5587959953568722
AVT-Faces_lighting1__V4-0012_100k_360_hevc,360p,4.8H,2.4347826086956523,0.3219391096403633,0.7877520927828721
fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s_7000k_2160_hevc,2160p,4.8H,4.391304347826087,0.2682484130635799,0.6563764465043606
AVT-Faces_lighting1__V4-0012_1000k_1080_hevc,1080p,4.8H,4.304347826086956,0.2872624888716983,0.7029019463944167
water_netflix_8s_1000k_1080_hevc,1080p,4.8H,2.5217391304347827,0.4062505077234061,0.9940534656094304
water_netflix_8s_400k_720_hevc,720p,4.8H,1.6956521739130437,0.33598660824125,0.8221248859286775
BunnyAnimation_15000k_2160_hevc,2160p,4.8H,4.086956521739131,0.3239831880148012,0.7927537436201203
AVT-Faces_lighting1__V4-0005_7000k_1080_hevc,1080p,4.8H,4.173913043478261,0.292951407256004,0.716822148161496
cutting_orange_tuil_8s_400k_720_hevc,720p,4.8H,3.130434782608696,0.3093911690963474,0.7570485649179112
DialogMeridian_1000k_1080_hevc,1080p,4.8H,3.9130434782608696,0.2731260564492838,0.668311541278118
water_netflix_8s_3500k_2160_hevc,2160p,4.8H,3.5217391304347827,0.3669771268360313,0.8979555170897592
fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s_15000k_2160_hevc,2160p,4.8H,4.695652173913044,0.1922728332493117,0.4704719688969646
DialogMeridian_3500k_2160_hevc,2160p,4.8H,4.3478260869565215,0.2645311652921498,0.6472807211834832
fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s_3500k_1080_hevc,1080p,4.8H,3.869565217391304,0.2239910721608334,0.5480832572857851
BunnyAnimation_3500k_2160_hevc,2160p,4.8H,3.8260869565217392,0.2354851664300248,0.5762081310400609
AVT-Faces_lighting1__V4-0005_15000k_2160_hevc,2160p,4.8H,4.434782608695652,0.2410267520608135,0.5897678246195885
water_netflix_8s_15000k_2160_hevc,2160p,4.8H,4.130434782608695,0.3330263161030265,0.8148813536665074
BunnyAnimation_1000k_720_hevc,720p,4.8H,3.869565217391304,0.3093911690963474,0.7570485649179112
BunnyAnimation_100k_360_hevc,360p,4.8H,1.565217391304348,0.2706982211085496,0.6623708763718501
AVT-Faces_lighting1__V4-0012_3500k_1080_hevc,1080p,4.8H,4.260869565217392,0.2814586079910367,0.6887004431501819
cutting_orange_tuil_8s_3500k_2160_hevc,2160p,4.8H,4.478260869565218,0.2423923536522697,0.5931093121225481
BunnyAnimation_7000k_2160_hevc,2160p,4.8H,4.0,0.3018307310631075,0.7385489458759964
water_netflix_8s_100k_360_hevc,360p,4.8H,1.173913043478261,0.2006729476193245,0.491026190103531
fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s_3500k_2160_hevc,2160p,4.8H,3.4782608695652173,0.406250507723406,0.99405346560943
cutting_orange_tuil_8s_100k_360_hevc,360p,4.8H,1.608695652173913,0.3427945539505754,0.8387832331734849
