user_ID,stimuli_ID,stimuli_file,rating_type,rating,timestamp,rel_distance,abs_distance,stimulus,codec,crf,resolution,short_src
13,5,['..\\4k_viewing_distance\\cpvs_hevc\\american_football_harmonic_8s_1080p_crf30_hevc.mkv'],acr,4,2024-10-15 09:15:53 446339,3.2,120,american_football_harmonic_8s_1080p_crf30_hevc,hevc,30,1080p,Football
13,6,['..\\4k_viewing_distance\\cpvs_hevc\\AVT-Faces_lightingLoop__V8-0019_720p_crf22_hevc.mkv'],acr,4,2024-10-15 09:16:06 772962,3.2,120,AVT-Faces_lightingLoop__V8-0019_720p_crf22_hevc,hevc,22,720p,Faces_19
13,7,['..\\4k_viewing_distance\\cpvs_hevc\\Knitting_Close_ds_1080p_crf38_hevc.mkv'],acr,3,2024-10-15 09:16:20 165034,3.2,120,Knitting_Close_ds_1080p_crf38_hevc,hevc,38,1080p,Knitting_Close
13,8,['..\\4k_viewing_distance\\cpvs_hevc\\venice_harmonic_2_cropped_8s_360p_crf22_hevc.mkv'],acr,1,2024-10-15 09:16:31 079964,3.2,120,venice_harmonic_2_cropped_8s_360p_crf22_hevc,hevc,22,360p,Venice
13,9,['..\\4k_viewing_distance\\cpvs_hevc\\AVT-Faces_lightingLoop__V8-0032_720p_crf22_hevc.mkv'],acr,3,2024-10-15 09:16:44 980056,3.2,120,AVT-Faces_lightingLoop__V8-0032_720p_crf22_hevc,hevc,22,720p,Faces_32
13,10,['..\\4k_viewing_distance\\cpvs_hevc\\Reading_Stairs_ds_2160p_crf30_hevc.mkv'],acr,5,2024-10-15 09:16:57 861717,3.2,120,Reading_Stairs_ds_2160p_crf30_hevc,hevc,30,2160p,Reading_Stairs
13,11,['..\\4k_viewing_distance\\cpvs_hevc\\monkeys_harmonic_0_cropped_8s_360p_crf22_hevc.mkv'],acr,4,2024-10-15 09:17:08 795487,3.2,120,monkeys_harmonic_0_cropped_8s_360p_crf22_hevc,hevc,22,360p,Monkeys
13,12,['..\\4k_viewing_distance\\cpvs_hevc\\AVT-Faces_lightingLoop__V8-0019_360p_crf38_hevc.mkv'],acr,1,2024-10-15 09:17:21 596089,3.2,120,AVT-Faces_lightingLoop__V8-0019_360p_crf38_hevc,hevc,38,360p,Faces_19
13,13,['..\\4k_viewing_distance\\cpvs_hevc\\venice_harmonic_2_cropped_8s_2160p_crf30_hevc.mkv'],acr,5,2024-10-15 09:17:32 672113,3.2,120,venice_harmonic_2_cropped_8s_2160p_crf30_hevc,hevc,30,2160p,Venice
13,14,['..\\4k_viewing_distance\\cpvs_hevc\\Moment_of_Intensity_8s_1080p_crf22_hevc.mkv'],acr,5,2024-10-15 09:17:44 071552,3.2,120,Moment_of_Intensity_8s_1080p_crf22_hevc,hevc,22,1080p,Moment
13,15,['..\\4k_viewing_distance\\cpvs_hevc\\Moment_of_Intensity_8s_360p_crf30_hevc.mkv'],acr,1,2024-10-15 09:17:54 664503,3.2,120,Moment_of_Intensity_8s_360p_crf30_hevc,hevc,30,360p,Moment
13,16,['..\\4k_viewing_distance\\cpvs_hevc\\Reading_Stairs_ds_2160p_crf38_hevc.mkv'],acr,4,2024-10-15 09:18:07 263083,3.2,120,Reading_Stairs_ds_2160p_crf38_hevc,hevc,38,2160p,Reading_Stairs
13,17,['..\\4k_viewing_distance\\cpvs_hevc\\CSGO_8s_23000-31000.avi_720p_crf22_hevc.mkv'],acr,4,2024-10-15 09:18:18 296143,3.2,120,CSGO_8s_23000-31000.avi_720p_crf22_hevc,hevc,22,720p,CS_GO
13,18,['..\\4k_viewing_distance\\cpvs_hevc\\ReadySetGoJockeyConcat_8s_0-8000.avi_2160p_crf30_hevc.mkv'],acr,5,2024-10-15 09:18:29 045921,3.2,120,ReadySetGoJockeyConcat_8s_0-8000.avi_2160p_crf30_hevc,hevc,30,2160p,Jockey
13,19,['..\\4k_viewing_distance\\cpvs_hevc\\monkeys_harmonic_0_cropped_8s_2160p_crf30_hevc.mkv'],acr,5,2024-10-15 09:18:39 950427,3.2,120,monkeys_harmonic_0_cropped_8s_2160p_crf30_hevc,hevc,30,2160p,Monkeys
13,20,['..\\4k_viewing_distance\\cpvs_hevc\\Rocket-2_8s_90000-98000.avi_720p_crf22_hevc.mkv'],acr,4,2024-10-15 09:18:51 496113,3.2,120,Rocket-2_8s_90000-98000.avi_720p_crf22_hevc,hevc,22,720p,Rocket_League
13,21,['..\\4k_viewing_distance\\cpvs_hevc\\Reading_Stairs_ds_1080p_crf30_hevc.mkv'],acr,3,2024-10-15 09:19:04 521289,3.2,120,Reading_Stairs_ds_1080p_crf30_hevc,hevc,30,1080p,Reading_Stairs
13,22,['..\\4k_viewing_distance\\cpvs_hevc\\Moment_of_Intensity_8s_2160p_crf30_hevc.mkv'],acr,5,2024-10-15 09:19:16 371075,3.2,120,Moment_of_Intensity_8s_2160p_crf30_hevc,hevc,30,2160p,Moment
13,23,['..\\4k_viewing_distance\\cpvs_hevc\\Reading_Stairs_ds_720p_crf30_hevc.mkv'],acr,2,2024-10-15 09:19:28 845820,3.2,120,Reading_Stairs_ds_720p_crf30_hevc,hevc,30,720p,Reading_Stairs
13,24,['..\\4k_viewing_distance\\cpvs_hevc\\DialogMeridian_360p_crf38_hevc.mkv'],acr,1,2024-10-15 09:19:43 021495,3.2,120,DialogMeridian_360p_crf38_hevc,hevc,38,360p,Meridian
13,25,['..\\4k_viewing_distance\\cpvs_hevc\\Rocket-2_8s_90000-98000.avi_360p_crf30_hevc.mkv'],acr,2,2024-10-15 09:19:53 850553,3.2,120,Rocket-2_8s_90000-98000.avi_360p_crf30_hevc,hevc,30,360p,Rocket_League
13,26,['..\\4k_viewing_distance\\cpvs_hevc\\Rocket-2_8s_90000-98000.avi_720p_crf30_hevc.mkv'],acr,3,2024-10-15 09:20:05 945397,3.2,120,Rocket-2_8s_90000-98000.avi_720p_crf30_hevc,hevc,30,720p,Rocket_League
13,27,['..\\4k_viewing_distance\\cpvs_hevc\\CSGO_8s_23000-31000.avi_2160p_crf30_hevc.mkv'],acr,5,2024-10-15 09:20:16 620886,3.2,120,CSGO_8s_23000-31000.avi_2160p_crf30_hevc,hevc,30,2160p,CS_GO
